18/01/05 16:06:35 [INFO] 260 Start server. [127.0.0.1:9999]
18/01/05 16:06:54 [INFO] 41 [('127.0.0.1', 59504)] ('127.0.0.1', 59504) is connected.
18/01/05 16:06:54 [INFO] 45 [('127.0.0.1', 59504)] Account: user01
18/01/05 16:06:54 [INFO] 60 [('127.0.0.1', 59504)] "user01" Auth success.
18/01/05 16:06:55 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:06:55 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:06:55 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:06:56 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'4'
18/01/05 16:06:56 [INFO] 87 [('127.0.0.1', 59504)] Command: help
18/01/05 16:06:56 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _help
18/01/05 16:07:01 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:01 [INFO] 87 [('127.0.0.1', 59504)] Command: bloke_error
18/01/05 16:07:01 [DEBUG] 97 [('127.0.0.1', 59504)] Invalid command: bloke_error
18/01/05 16:07:02 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:02 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:07:02 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:07:03 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:03 [INFO] 87 [('127.0.0.1', 59504)] Command: bloke_error
18/01/05 16:07:03 [DEBUG] 97 [('127.0.0.1', 59504)] Invalid command: bloke_error
18/01/05 16:07:04 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:04 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:07:04 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:07:06 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:06 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:07:06 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:07:10 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'13'
18/01/05 16:07:10 [INFO] 87 [('127.0.0.1', 59504)] Command: get user01.md
18/01/05 16:07:10 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _get
18/01/05 16:07:10 [DEBUG] 174 [('127.0.0.1', 59504)] File size: 15
18/01/05 16:07:12 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:12 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:07:12 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:07:44 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'25'
18/01/05 16:07:44 [INFO] 87 [('127.0.0.1', 59504)] Command: put Xmanager_5.0.1056.exe 48339264
18/01/05 16:07:44 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _put
18/01/05 16:07:52 [WARNING] 153 [('127.0.0.1', 59504)] File md5 value is correct. [Xmanager_5.0.1056.exe]
18/01/05 16:07:57 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'3'
18/01/05 16:07:57 [INFO] 87 [('127.0.0.1', 59504)] Command: dir
18/01/05 16:07:57 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _dir
18/01/05 16:08:10 [DEBUG] 74 [('127.0.0.1', 59504)] Recive data length: b'25'
18/01/05 16:08:10 [INFO] 87 [('127.0.0.1', 59504)] Command: get Xmanager_5.0.1056.exe
18/01/05 16:08:10 [DEBUG] 101 [('127.0.0.1', 59504)] Action: _get
18/01/05 16:09:12 [WARNING] 118 [('127.0.0.1', 59504)] ('127.0.0.1', 59504) is disconnected.
